RBD,NOM_RBD,NOM_COM_RBD,RURAL_RBD,DC_A,HH_A,DC_UTP,HH_UTP,DC_PDIR,HH_PDIR,DC_DIR,HH_DIR,DC_OES,HH_OES,DC_OF,HH_OF,DC_JUTP,HH_JUTP,DC_IG,HH_IG,DC_OR,HH_OR,DC_DIR_SOST,HH_DIR_SOST,DC_TP_SOST,HH_TP_SOST,DC_SUP_SOST,HH_SUP_SOST,DC_SUBDIR,HH_SUBDIR,DC_PROF_ENC,HH_PROF_ENC,DC_EDUC_TRAD,HH_EDUC_TRAD,DC_TOT,HH_TOT
26304,ESCUELA BAS. PEÑIHUEN ANDINO,LA FLORIDA,0,10,288,0,0,0,0,1,35,1,30,0,0,1,40,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,428
26305,COLEGIO MONTAHUE DE PEÑALOLEN,PEÑALOLÉN,0,11,406,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,450
26306,ESC. ESP. DE COLORES PANDO,MACUL,0,4,68,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84
26309,ESCUELA ESPECIAL  MAGOS,RECOLETA,0,5,193,0,0,0,0,1,44,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,247
26310,ESCUELA DE PARVULOS PASITOS DE QUILICURA,QUILICURA,0,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,88
26311,COLEGIO LINCOLN INTERN ACADEMY VALLE NORTE CHICUREO,COLINA,0,116,4393,0,0,5,206,1,40,0,0,0,0,0,0,1,40,0,0,0,0,1,35,0,0,0,0,0,0,0,0,124,4714
26316,ESCUELA ESP. ALTUE DE CERRO NAVIA,CERRO NAVIA,0,6,264,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,8,352
26317,"ESCUELA  ESPECIAL  DE  LENGUAJE N° 2235,  ANTÚ KÚYEN",CERRILLOS,0,2,88,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,4,167
26318,ESCUELA ESPECIAL SANTA RITA DE CASIA DE LA GR,LA GRANJA,0,7,260,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,304
26320,ESC. ESP. CORAZON DE JESUS DE SAN BERNARDO,TALAGANTE,0,2,88,0,0,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,176
